Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13776206,2021-02-24 15:35:38,2021-02-24 08:36:23,269235,40145624,269235,149,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776206/SRR13776206.lite.1,SRX10161784,19-06_4d_serum_nsb17,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313487,SAMN18038815,simple,12110,Foot-and-mouth disease virus,19-06_4d_serum_nsb17,,,,,,,no,,,,,USDA,SRA1199403,,public,87E57179063CF7BF4F083CC2D1BF4BBB,E132C35EDEC90E18E3A0AC96C4DE1F41
SRR13776205,2021-02-24 15:35:38,2021-02-24 08:38:20,1038323,300966865,1038323,289,106,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776205/SRR13776205.lite.1,SRX10161785,19-06_4d_ves_tng_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313488,SAMN18038848,simple,12110,Foot-and-mouth disease virus,19-06_4d_ves_tng_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,335E81A1698B1AA5FB9C2098585F23D8,D996EBAEF43494ABA1CF5BF81ED9FF33
SRR13776204,2021-02-24 15:35:38,2021-02-24 08:38:59,810632,229735161,810632,283,78,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776204/SRR13776204.lite.1,SRX10161786,19-06_6d_ves_lf_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313489,SAMN18038816,simple,12110,Foot-and-mouth disease virus,19-06_6d_ves_lf_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,478583F8B73667C8257471F6EBE16990,FD79FB8A08F875B2298738DBFDE3DB49
SRR13776203,2021-02-24 15:35:38,2021-02-24 08:37:07,383628,111905487,383628,291,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776203/SRR13776203.lite.1,SRX10161787,19-06_6d_ves_lh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313490,SAMN18038849,simple,12110,Foot-and-mouth disease virus,19-06_6d_ves_lh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,00521A32EF7946BC6B907C2ABC302905,7AF70C5D994B04178F5716633077F0FB
SRR13776202,2021-02-24 15:35:38,2021-02-24 08:36:28,68859,20192861,68859,293,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13776/SRR13776202/SRR13776202.lite.1,SRX10161788,19-07_3d_serum_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313491,SAMN18038817,simple,12110,Foot-and-mouth disease virus,19-07_3d_serum_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,9C9BF50D6EAF61D8365EC518E2F4A8C8,90892D47E5629B88BD8977F93C69130F
SRR13776201,2021-02-24 15:35:38,2021-02-24 08:37:16,303096,86975708,303096,286,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776201/SRR13776201.lite.1,SRX10161789,19-07_3d_ves_dp_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313492,SAMN18038819,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_dp_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,7456C558C85931D6F0A429EE23F4593F,D23A0416D833A97942CF11BA07214426
SRR13776200,2021-02-24 15:35:38,2021-02-24 08:37:45,773197,225427202,773197,291,78,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776200/SRR13776200.lite.1,SRX10161790,19-07_3d_ves_lf_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313493,SAMN18038850,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_lf_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,F1164B2920BBC9A9081BB7C3178595E0,AE7C19CD3F2D3A951401D1089B155D95
SRR13776199,2021-02-24 15:35:38,2021-02-24 08:38:39,2137668,602819227,2137668,281,205,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776199/SRR13776199.lite.1,SRX10161791,19-07_3d_ves_lh_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313494,SAMN18038818,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_lh_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,E65E3F642A40CDF6474FDE42C2E7B874,8A3464824CEB5579D9AFEC1B883457F4
SRR13776198,2021-02-24 15:35:38,2021-02-24 08:37:47,828683,240726962,828683,290,84,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776198/SRR13776198.lite.1,SRX10161792,19-07_3d_ves_rf_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313495,SAMN18038851,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_rf_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,9545ADFC4B8D246065E6AEB0AE43832D,64301F8FBCFC0275E4DBD908BA1DDB82
SRR13776197,2021-02-24 15:35:38,2021-02-24 08:37:18,355474,97376324,355474,273,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776197/SRR13776197.lite.1,SRX10161793,19-07_3d_ves_rh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313496,SAMN18038852,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_rh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,C8A94A76C0221EE95705B838093A4A03,641572AE1C726212825077CDE0B8BC70
SRR13776195,2021-02-24 15:35:38,2021-02-24 08:38:30,937000,270044756,937000,288,96,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776195/SRR13776195.lite.1,SRX10161795,19-07_3d_ves_tng_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313498,SAMN18038820,simple,12110,Foot-and-mouth disease virus,19-07_3d_ves_tng_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,B422A1CCA84D458253CE197ECBBD53AB,6BC4416CEAF1E38640B4F7A916C70CB3
SRR13776194,2021-02-24 15:35:38,2021-02-24 08:38:20,1655309,464800414,1655309,280,158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776194/SRR13776194.lite.1,SRX10161796,19-07_4d_ves_lf_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313499,SAMN18038821,simple,12110,Foot-and-mouth disease virus,19-07_4d_ves_lf_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,C44AA4DFE3A13F46042562258DFE6354,F6FF22806E5532DCEBB20ACE0E7717B5
SRR13776193,2021-02-24 15:35:38,2021-02-24 08:36:56,320730,91424689,320730,285,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776193/SRR13776193.lite.1,SRX10161797,19-07_4d_ves_rh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313500,SAMN18038822,simple,12110,Foot-and-mouth disease virus,19-07_4d_ves_rh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,DF66AF6F1A9BFF1553226DBF471779E8,8C221C315FD05D186920FDB9495B62FB
SRR13776192,2021-02-24 15:35:38,2021-02-24 08:39:22,1139572,344150744,1139572,302,106,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776192/SRR13776192.lite.1,SRX10161798,19-08_14d_OPF_pass1_nsb23,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP283143,PRJNA662932,,662932,SRS8313501,SAMN18038823,simple,12110,Foot-and-mouth disease virus,19-08_14d_OPF_pass1_nsb23,,,,,,,no,,,,,USDA,SRA1199403,,public,FF9486391F17E5A973CA022DFDFF8486,BD75AF796EDA9FF1A0BCDD2BB67552CA
SRR13776191,2021-02-24 15:35:38,2021-02-24 08:38:02,1482374,427332356,1482374,288,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776191/SRR13776191.lite.1,SRX10161799,19-08_17d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313502,SAMN18038824,simple,12110,Foot-and-mouth disease virus,19-08_17d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,BA590DBC3896CFD57B4FEB9A79B26B4C,94A6C6F0DA072F45B3E8C00A37F6775F
SRR13776190,2021-02-24 15:35:38,2021-02-24 08:38:41,1541820,443510345,1541820,287,153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776190/SRR13776190.lite.1,SRX10161800,19-08_21d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313503,SAMN18038825,simple,12110,Foot-and-mouth disease virus,19-08_21d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,538EB1257D7397EB9CCD3B365FBF64F9,1737ED93AA3B2DA8C3F7E5DAFD41C752
SRR13776189,2021-02-24 15:35:38,2021-02-24 08:38:48,1289651,375574243,1289651,291,128,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776189/SRR13776189.lite.1,SRX10161801,19-08_24d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313504,SAMN18038826,simple,12110,Foot-and-mouth disease virus,19-08_24d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,208261C63884F618ACEBB7D54807A8AC,EC773C0FB0F8C35D6626A10E650F8915
SRR13776188,2021-02-24 15:35:38,2021-02-24 08:37:29,993935,288792135,993935,290,101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776188/SRR13776188.lite.1,SRX10161802,19-08_4d_ves_tng_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313505,SAMN18038853,simple,12110,Foot-and-mouth disease virus,19-08_4d_ves_tng_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,3DDD66B514BC288037464D9BB1897B50,31C0FA264C79CBC3DD9E9830ABB58F6C
SRR13776187,2021-02-24 15:35:38,2021-02-24 08:37:05,408274,118463064,408274,290,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776187/SRR13776187.lite.1,SRX10161803,19-08_6d_ves_lh_nsb15,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313506,SAMN18038854,simple,12110,Foot-and-mouth disease virus,19-08_6d_ves_lh_nsb15,,,,,,,no,,,,,USDA,SRA1199403,,public,4F2AB0EB6D8DD6E8ADE81CCF8AE3050B,18FB9431AB7D6001C6B4FC9100D12358
SRR13776186,2021-02-24 15:35:38,2021-02-24 08:38:17,1087244,308004906,1087244,283,109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776186/SRR13776186.lite.1,SRX10161804,19-08_6d_ves_rf_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313507,SAMN18038855,simple,12110,Foot-and-mouth disease virus,19-08_6d_ves_rf_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,0AD18F7FFEDE478EEAC3B0A8B3AD3276,DDC933D949FD4FCC941EA0995AEDE096
SRR13776184,2021-02-24 15:35:38,2021-02-24 08:38:27,1692263,477460762,1692263,282,162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13776/SRR13776184/SRR13776184.lite.1,SRX10161806,19-13_35d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313509,SAMN18038827,simple,12110,Foot-and-mouth disease virus,19-13_35d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,180E0EBE3DFEE3B53B79319E90BC6BBB,DD92BF5BF6CD8E1CCB9505DE5C86A17C
SRR13776183,2021-02-24 15:35:39,2021-02-24 08:38:45,1597530,454319657,1597530,284,154,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776183/SRR13776183.lite.1,SRX10161807,19-13_38d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313510,SAMN18038828,simple,12110,Foot-and-mouth disease virus,19-13_38d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,01BCE7C0A94E717ED17CA3C66E0F7C32,A979492309D48CB441A48DA83F569231
SRR13776182,2021-02-24 15:35:39,2021-02-24 08:38:36,1334658,382754828,1334658,286,131,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776182/SRR13776182.lite.1,SRX10161808,19-13_43d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313511,SAMN18038829,simple,12110,Foot-and-mouth disease virus,19-13_43d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,4DB4E90FD342F4A82C351AD5839A855C,6EF63382192033F6AD39AEC3BD8785C6
SRR13776181,2021-02-24 15:35:39,2021-02-24 08:38:55,1516516,430703900,1516516,284,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13776/SRR13776181/SRR13776181.lite.1,SRX10161809,19-13_45d_OPF_pass1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS8313512,SAMN18038830,simple,12110,Foot-and-mouth disease virus,19-13_45d_OPF_pass1_nsb18,,,,,,,no,,,,,USDA,SRA1199403,,public,C1BDCF0438D422C21415E2B8664E9805,97EBCEA678F43F27D744B57AF5754422
SRR12664428,2021-01-15 00:03:29,2020-09-17 21:13:02,1576531,229491153,1576531,145,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12664/SRR12664428/SRR12664428.lite.1,SRX9145061,19-14_35d_OPF_bp1_nsb17,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS7386111,SAMN16140705,simple,12110,Foot-and-mouth disease virus,19-14_35d_OPF_bp1_nsb17,,,,,,,no,,,,,USDA,SRA1127405,,public,06BE2D4899598DC1E5FFCEAEC0830AB9,21B52D805A9202F4F54B29AAEB290460
SRR12664424,2021-01-15 00:03:29,2020-09-17 21:14:24,1860125,533468516,1860125,286,182,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12664/SRR12664424/SRR12664424.lite.1,SRX9145065,19-14_35d_OPF_bp1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS7386115,SAMN16140709,simple,12110,Foot-and-mouth disease virus,19-14_35d_OPF_bp1_nsb18,,,,,,,no,,,,,USDA,SRA1127405,,public,0977F4C387F5905AD8C5C87179DD1EB3,7D73C243B981FD9EEF4CD88BD36C53D3
SRR12664427,2021-01-15 00:03:29,2020-09-17 21:12:41,1358617,199363544,1358617,146,65,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12664/SRR12664427/SRR12664427.lite.1,SRX9145062,19-14_38d_OPF_bp1_nsb17,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS7386112,SAMN16140706,simple,12110,Foot-and-mouth disease virus,19-14_38d_OPF_bp1_nsb17,,,,,,,no,,,,,USDA,SRA1127405,,public,5B937462AB03816E4522BA2054E531BC,9BBE31EF5CA3B45C066BC63BD2017662
SRR12664423,2021-01-15 00:03:29,2020-09-17 21:13:14,1414063,402040904,1414063,284,137,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12664/SRR12664423/SRR12664423.lite.1,SRX9145066,19-14_38d_OPF_bp1_nsb18,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS7386116,SAMN16140710,simple,12110,Foot-and-mouth disease virus,19-14_38d_OPF_bp1_nsb18,,,,,,,no,,,,,USDA,SRA1127405,,public,EFED02665170517DA1ACD63855BA9E7C,F05313FA05F128130B37DA86A1F3DD7F
SRR12664426,2021-01-15 00:03:29,2020-09-17 21:11:35,461686,67729351,461686,146,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12664/SRR12664426/SRR12664426.lite.1,SRX9145063,19-14_45d_OPF_bp1_nsb17,AMPLICON,RANDOM PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP283143,PRJNA662932,,662932,SRS7386113,SAMN16140707,simple,12110,Foot-and-mouth disease virus,19-14_45d_OPF_bp1_nsb17,,,,,,,no,,,,,USDA,SRA1127405,,public,D282AE15178CD0BAFA48ABE127D9DEB6,39A4B3478BE7025973E9F81E28D5C916
